Singapore/Malaysia,#genre#
Channel 5,https://dlau142f16b92.cloudfront.net/hls/ch5ctv/master02.m3u8
Channel 8,https://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
Channel U,https://d3inlz9elsutjl.cloudfront.net/hls/chuctv/master02.m3u8
Channel NewsAsia,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
Suria,https://d11h6a6nhl9kj9.cloudfront.net/hls/suriactv/master02.m3u8
வசந்தம்,https://d39v9xz8f7n8tk.cloudfront.net/hls/vsnthmctv/master02.m3u8
OKTO on 5,https://ddftztnzt6o79.cloudfront.net/hls/oktoctv/master02.m3u8

Hong Kong/Macau,#genre# 
凤凰香港,http://220.158.149.28:8180/TV00000000000000000068@HHZT;LIVE
港台電視 31,https://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-b.m3u8
港台電視 32,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
翡翠台,http://m.567it.com/jade.m3u8
J2台,http://119.126.91.20:9981/stream/channelid/139524993
翡翠明珠,http://m.567it.com/Pearl.m3u8
TVB 星河频道,http://192.154.103.75:8080/ZZ_xinghe/ZZ_xinghe.m3u8
亞洲電視台,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_hi.m3u8

Documentary,#genre#
Asia Food Network,http://185.93.2.35:12012/live/359111068247FFA1/MPWOsuAFOtOWF0EbcbiHd0YdVYqFbMkSxUtVrftKP-MZn8nvfE1A031QE38lDJcm/03DC29C076F247E9/919996.ts
BBC,http://185.93.2.35:12012/live/359111068247FFA1/y0U3YArEHn1GU4rGWOjHTfI5PQtPB4Ssbouv2XvA6BpljD-V8UiJJvQbGnI4XmEb/A285396723054D82/499647.ts
BBC Earth,http://185.93.2.35:12012/live/359111068247FFA1/VpWmRqFVfLAZo-QYtkIfIfuLah83ga_4I9cW7nTFjVjQs_SfTW9GJsE85Q6zRuh/8B1BF877340042A1/75441.ts
BBC Lifestyle,http://185.93.2.35:12012/live/359111068247FFA1/iEA-RPF1AfCgWKDRftOwckUPP5EWaFZoQDTpicxqVkC0vKPuXm6-vXR1E1jLgwJG/7485E1247D964CCA/873047.ts
Bloomberg,http://185.93.2.35:12012/live/359111068247FFA1/SKBruUymzyojEEMZzTy5AqBwu3x9Mw51gjy719107qNNNUtHwmI-uWT-8hcFEXlQ/003F68F3712541AB/876650.ts
